Zone Name,link_id,SegmentId
motorway_link / 20422548 / 1,1,20422548_0
motorway_link / 20422572 / 1,2,20422572_0
motorway_link / 20432309 / 2,3,20432309_0
motorway_link / 537938954 / 1,4,537938954_0
motorway_link / 20428464 / 1,5,20428464_0
motorway_link / 20429249 / 1,6,20429249_0
motorway_link / 20433217 / 1,7,20433217_0
motorway_link / 20433806 / 1,8,20433806_0
motorway_link / 20435035 / 1,9,20435035_0
motorway_link / 20438740 / 1,10,20438740_0
motorway_link / 20439725 / 1,11,20439725_0
motorway_link / 20441697 / 1,12,20441697_0
95 Express Lanes / 51826731 / 1,13,51826731_0
I 95 / 51826856 / 1,14,51826856_0
motorway_link / 51862982 / 1,15,51862982_0
motorway_link / 61155962 / 1,16,61155962_0
motorway_link / 61155967 / 1,17,61155967_0
motorway_link / 175659792 / 1,18,175659792_0
motorway_link / 175659796 / 1,19,175659796_0
95 Express Lanes / 636701144 / 1,20,636701144_0
I 95 / 687358695 / 1,21,687358695_0
motorway_link / 20419186 / 1,22,20419186_0
I 95 / 51826852 / 1,23,51826852_0
motorway_link / 20419324 / 1,24,20419324_0
motorway_link / 20419324 / 1,25,537938574_3
motorway_link / 20419653 / 1,26,20419653_0
I 95 / 871164638 / 1,27,871164638_0
motorway_link / 20421304 / 1,28,20421304_0
motorway_link / 20440946 / 1,29,20440946_0
motorway_link / 932302601 / 1,30,932302601_0
motorway_link / 952679973 / 1,31,952679973_0
motorway_link / 966688730 / 1,32,966688730_0
motorway_link / 20422876 / 1,33,20422876_0
I 95 / 128156739 / 1,34,128156739_0
motorway_link / 20428381 / 1,35,20428381_0
motorway_link / 292009447 / 1,36,292009447_0
motorway_link / 20423565 / 1,37,20423565_0
I 95 / 870399343 / 1,38,870399343_0
motorway_link / 20424282 / 1,39,20424282_0
I 95 / 121069342 / 1,40,121069342_0
motorway_link / 20426152 / 1,41,20426152_0
I 95 / 874722850 / 1,42,874722850_0
motorway_link / 20427021 / 1,43,20427021_0
motorway_link / 51808504 / 1,44,51808504_0
motorway_link / 20427021 / 1,45,20427021_0
95 Express Lanes / 436339933 / 1,46,436339933_0
95 Express Lanes / 307480719 / 1,47,307480719_0
motorway_link / 20427833 / 1,48,20427833_0
I 95 / 870309259 / 1,49,870309259_1
motorway_link / 945497166 / 1,50,945497166_0
motorway_link / 686997709 / 1,51,686997709_0
motorway_link / 20428850 / 1,52,20428850_0
motorway_link / 291999599 / 1,53,291999599_0
I 95 / 870399343 / 2,54,870399343_1
motorway_link / 931042662 / 1,55,931042662_0
motorway_link / 930562113 / 1,56,930562113_0
motorway_link / 206378233 / 1,57,206378233_0
motorway_link / 20434098 / 1,58,20434098_0
motorway_link / 687358696 / 1,59,687358696_0
motorway_link / 20437870 / 1,60,20437870_0
95 Express Lanes / 636701142 / 1,61,636701142_1
95 Express Lanes / 636701141 / 1,62,636701141_0
motorway_link / 51808517 / 1,63,51808517_0
motorway_link / 20438680 / 1,64,20438680_0
I 95 / 870344425 / 1,65,870344425_0
motorway_link / 291999598 / 1,66,291999598_0
motorway_link / 687358692 / 1,67,687358692_0
motorway_link / 537938574 / 2,68,537938574_1
motorway_link / 20439589 / 1,69,20439589_0
motorway_link / 537938574 / 1,70,537938574_0
I 95 / 121069342 / 2,71,121069342_1
motorway_link / 20440919 / 1,72,20440919_0
I 95 / 687358694 / 1,73,687358694_0
motorway_link / 20441368 / 1,74,20441368_0
motorway_link / 932302601 / 2,75,932302601_1
motorway_link / 537938954 / 1,76,537938954_0
motorway_link / 51808504 / 1,77,51808504_0
motorway_link / 51808516 / 1,78,51808516_0
I 95 / 686997715 / 1,79,686997715_0
motorway_link / 51808518 / 1,80,51808518_0
motorway_link / 51808519 / 1,81,51808519_0
95 Express Lanes / 636701142 / 1,82,636701142_1
95 Express Lanes / 636701143 / 1,83,636701143_0
95 Express Lanes / 51826731 / 1,84,51826731_0
motorway_link / 51862975 / 1,85,51862975_0
95 Express Lanes / 175300289 / 1,86,175300289_0
I 95 / 121069338 / 1,87,121069338_0
motorway_link / 51862972 / 1,88,51862972_0
motorway_link / 51862984 / 1,89,51862984_0
motorway_link / 61155962 / 1,90,61155962_0
motorway_link / 51862974 / 1,91,51862974_0
motorway_link / 51862975 / 1,92,51862975_0
motorway_link / 51862974 / 1,93,51862974_0
motorway_link / 51862981 / 1,94,51862981_0
motorway_link / 687108525 / 1,95,687108525_0
I 95 / 121069342 / 3,96,121069342_2
I 95 / 175300286 / 1,97,175300286_0
motorway_link / 124891274 / 1,98,124891274_0
motorway_link / 537938204 / 1,99,537938204_0
I 95 / 930885999 / 1,100,930885999_0
I 95 / 128156741 / 1,101,128156741_0
I 95 / 175300285 / 1,102,175300285_0
I 95 / 175300284 / 1,103,175300284_0
I 95 / 829321791 / 1,104,829321791_0
I 95 / 175300288 / 1,105,175300288_0
95 Express Lanes / 175300289 / 1,106,175300289_0
95 Express Lanes / 175300294 / 1,107,175300294_0
95 Express Lanes / 436339933 / 1,108,436339933_0
95 Express Lanes / 175300294 / 1,109,175300294_0
motorway_link / 537938574 / 3,110,537938574_2
I 95 / 870309260 / 1,111,870309260_0
I 95 / 307480708 / 1,112,307480708_0
I 95 / 870344427 / 1,113,870344427_0
95 Express Lanes / 307480719 / 1,114,307480719_0
95 Express Lanes / 636701140 / 1,115,636701140_0
95 Express Lanes / 636701141 / 1,116,636701141_0
95 Express Lanes / 636701140 / 1,117,636701140_0
motorway_link / 347314326 / 1,118,347314326_0
I 95 / 870344425 / 2,119,870344425_1
I 95 / 930885998 / 1,120,930885998_0
motorway_link / 347314436 / 1,121,347314436_0
95 Express Lanes / 636701144 / 1,122,636701144_0
95 Express Lanes / 636701143 / 1,123,636701143_0
motorway_link / 877741911 / 1,124,877741911_0
I 95 / 872163516 / 1,125,872163516_0
I 95 / 686997716 / 1,126,686997716_0
I 95 / 872165161 / 1,127,872165161_0
I 95 / 687108522 / 1,128,687108522_0
I 95 / 874593863 / 1,129,874593863_0
I 95 / 870399344 / 1,130,870399344_0
I 95 / 870344425 / 3,131,870344425_2
motorway_link / 876619161 / 1,132,876619161_0