o_zone,d_zone,volume,o_lon,o_lat,d_lon,d_lat
I 95 / 51826856 / 1,I 95 / 872165161 / 1,1573322.0,-77.2474419,38.6720128,-77.27768,38.660763
I 95 / 872165161 / 1,I 95 / 872163516 / 1,1454795.0,-77.27768,38.660763,-77.2883731,38.6412562
I 95 / 870344425 / 3,I 95 / 51826852 / 1,1387337.0,-77.273334,38.665297,-77.2439017,38.6725688
I 95 / 51826856 / 1,I 95 / 872163516 / 1,1272176.0,-77.2474419,38.6720128,-77.2883731,38.6412562
I 95 / 872163516 / 1,I 95 / 930885998 / 1,1244996.0,-77.2883731,38.6412562,-77.296509,38.621798
I 95 / 872165161 / 1,I 95 / 930885998 / 1,1167544.0,-77.27768,38.660763,-77.296509,38.621798
I 95 / 307480708 / 1,I 95 / 870344425 / 3,1048642.0,-77.2865384,38.6435084,-77.273334,38.665297
I 95 / 51826856 / 1,I 95 / 930885998 / 1,1026877.0,-77.2474419,38.6720128,-77.296509,38.621798
I 95 / 307480708 / 1,I 95 / 51826852 / 1,920969.0,-77.2865384,38.6435084,-77.2439017,38.6725688
I 95 / 687358695 / 1,I 95 / 307480708 / 1,915540.0,-77.299459,38.614725,-77.2865384,38.6435084
I 95 / 687358695 / 1,I 95 / 870344425 / 3,821489.0,-77.299459,38.614725,-77.273334,38.665297
I 95 / 687358695 / 1,I 95 / 51826852 / 1,730377.0,-77.299459,38.614725,-77.2439017,38.6725688
I 95 / 872165161 / 1,motorway_link / 20440919 / 1,333829.0,-77.27768,38.660763,-77.28045,38.657226
I 95 / 51826856 / 1,motorway_link / 20440919 / 1,297541.0,-77.2474419,38.6720128,-77.28045,38.657226
95 Express Lanes / 636701141 / 1,I 95 / 870344425 / 3,278283.0,-77.2823897,38.6517095,-77.273334,38.665297
95 Express Lanes / 636701141 / 1,I 95 / 51826852 / 1,265894.0,-77.2823897,38.6517095,-77.2439017,38.6725688
motorway_link / 61155967 / 1,I 95 / 872165161 / 1,245213.0,-77.253967,38.670992,-77.27768,38.660763
95 Express Lanes / 636701144 / 1,I 95 / 870344425 / 3,243023.0,-77.29493,38.624323,-77.273334,38.665297
95 Express Lanes / 636701144 / 1,95 Express Lanes / 636701141 / 1,239950.0,-77.29493,38.624323,-77.2823897,38.6517095
motorway_link / 20432309 / 2,I 95 / 872163516 / 1,230302.0,-77.281641,38.654355,-77.2883731,38.6412562
95 Express Lanes / 636701144 / 1,I 95 / 51826852 / 1,229944.0,-77.29493,38.624323,-77.2439017,38.6725688
motorway_link / 20429249 / 1,I 95 / 870344425 / 3,227745.0,-77.278396,38.65484,-77.273334,38.665297
I 95 / 51826856 / 1,motorway_link / 20424282 / 1,225782.0,-77.2474419,38.6720128,-77.250795,38.671578
motorway_link / 20433217 / 1,I 95 / 51826852 / 1,221698.0,-77.253582,38.66833,-77.2439017,38.6725688
motorway_link / 20429249 / 1,I 95 / 51826852 / 1,215774.0,-77.278396,38.65484,-77.2439017,38.6725688
motorway_link / 61155967 / 1,I 95 / 872163516 / 1,203289.0,-77.253967,38.670992,-77.2883731,38.6412562
I 95 / 870344425 / 3,motorway_link / 20441368 / 1,199395.0,-77.273334,38.665297,-77.251991,38.668647
motorway_link / 20432309 / 2,I 95 / 930885998 / 1,169889.0,-77.281641,38.654355,-77.296509,38.621798
I 95 / 872163516 / 1,motorway_link / 20428381 / 1,160878.0,-77.2883731,38.6412562,-77.291405,38.634916
I 95 / 307480708 / 1,motorway_link / 20441368 / 1,159293.0,-77.2865384,38.6435084,-77.251991,38.668647
I 95 / 872165161 / 1,motorway_link / 20428381 / 1,150203.0,-77.27768,38.660763,-77.291405,38.634916
motorway_link / 61155967 / 1,I 95 / 930885998 / 1,149484.0,-77.253967,38.670992,-77.296509,38.621798
I 95 / 872163516 / 1,motorway_link / 20439589 / 1,131302.0,-77.2883731,38.6412562,-77.29605,38.626999
I 95 / 51826856 / 1,motorway_link / 20428381 / 1,124217.0,-77.2474419,38.6720128,-77.291405,38.634916
motorway_link / 20438740 / 1,motorway_link / 537938574 / 4,121590.0,-77.296767,38.627503,,
I 95 / 687358695 / 1,motorway_link / 20441368 / 1,121350.0,-77.299459,38.614725,-77.251991,38.668647
I 95 / 872165161 / 1,motorway_link / 20439589 / 1,112002.0,-77.27768,38.660763,-77.29605,38.626999
I 95 / 307480708 / 1,motorway_link / 20440946 / 1,108638.0,-77.2865384,38.6435084,-77.277371,38.657047
motorway_link / 20435035 / 1,I 95 / 307480708 / 1,102034.0,-77.290112,38.629033,-77.2865384,38.6435084
motorway_link / 20422572 / 1,motorway_link / 537938574 / 4,95427.0,-77.294613,38.629963,,
motorway_link / 20435035 / 1,I 95 / 870344425 / 3,93972.0,-77.290112,38.629033,-77.273334,38.665297
I 95 / 51826856 / 1,motorway_link / 20439589 / 1,90957.0,-77.2474419,38.6720128,-77.29605,38.626999
I 95 / 687358695 / 1,motorway_link / 20428850 / 1,85871.0,-77.299459,38.614725,-77.291626,38.625871
I 95 / 687358695 / 1,motorway_link / 206378233 / 1,85683.0,-77.299459,38.614725,-77.290358,38.629173
motorway_link / 20422548 / 1,I 95 / 870344425 / 3,83962.0,-77.291467,38.626107,-77.273334,38.665297
motorway_link / 20435035 / 1,I 95 / 51826852 / 1,82875.0,-77.290112,38.629033,-77.2439017,38.6725688
I 95 / 687358695 / 1,motorway_link / 20440946 / 1,81155.0,-77.299459,38.614725,-77.277371,38.657047
motorway_link / 20422548 / 1,I 95 / 307480708 / 1,80128.0,-77.291467,38.626107,-77.2865384,38.6435084
motorway_link / 20422548 / 1,I 95 / 51826852 / 1,78173.0,-77.291467,38.626107,-77.2439017,38.6725688
motorway_link / 20439725 / 1,I 95 / 872165161 / 1,46409.0,-77.251688,38.671924,-77.27768,38.660763
I 95 / 307480708 / 1,motorway_link / 291999598 / 1,42874.0,-77.2865384,38.6435084,-77.277856,38.654954
I 95 / 872163516 / 1,motorway_link / 537938574 / 4,41828.0,-77.2883731,38.6412562,,
motorway_link / 20433806 / 1,I 95 / 307480708 / 1,39165.0,-77.2887208,38.6361495,-77.2865384,38.6435084
I 95 / 872165161 / 1,motorway_link / 537938574 / 4,39016.0,-77.27768,38.660763,,
motorway_link / 61155967 / 1,motorway_link / 20440919 / 1,37916.0,-77.253967,38.670992,-77.28045,38.657226
motorway_link / 124891274 / 1,I 95 / 51826852 / 1,34511.0,-77.286292,38.6427021,-77.2439017,38.6725688
motorway_link / 20433806 / 1,I 95 / 870344425 / 3,34473.0,-77.2887208,38.6361495,-77.273334,38.665297
motorway_link / 20439725 / 1,I 95 / 872163516 / 1,34433.0,-77.251688,38.671924,-77.2883731,38.6412562
I 95 / 51826856 / 1,motorway_link / 537938574 / 4,33854.0,-77.2474419,38.6720128,,
motorway_link / 124891274 / 1,I 95 / 870344425 / 3,33737.0,-77.286292,38.6427021,-77.273334,38.665297
motorway_link / 124891274 / 1,95 Express Lanes / 636701141 / 1,32379.0,-77.286292,38.6427021,-77.2823897,38.6517095
motorway_link / 20432309 / 2,motorway_link / 20439589 / 1,31961.0,-77.281641,38.654355,-77.29605,38.626999
motorway_link / 20428464 / 1,I 95 / 307480708 / 1,31509.0,-77.288828,38.634061,-77.2865384,38.6435084
I 95 / 687358695 / 1,motorway_link / 20426152 / 1,30961.0,-77.299459,38.614725,-77.297564,38.616471
motorway_link / 175659796 / 1,I 95 / 307480708 / 1,30923.0,-77.29716,38.616973,-77.2865384,38.6435084
motorway_link / 20428464 / 1,I 95 / 870344425 / 3,30695.0,-77.288828,38.634061,-77.273334,38.665297
I 95 / 870344425 / 3,I 95 / 872165161 / 1,30037.0,-77.273334,38.665297,-77.27768,38.660763
motorway_link / 175659796 / 1,I 95 / 870344425 / 3,29877.0,-77.29716,38.616973,-77.273334,38.665297
motorway_link / 175659792 / 1,motorway_link / 537938574 / 4,29214.0,-77.29779,38.620032,,
I 95 / 687358695 / 1,motorway_link / 291999598 / 1,28920.0,-77.299459,38.614725,-77.277856,38.654954
motorway_link / 175659796 / 1,I 95 / 51826852 / 1,28671.0,-77.29716,38.616973,-77.2439017,38.6725688
motorway_link / 20433806 / 1,I 95 / 51826852 / 1,28600.0,-77.2887208,38.6361495,-77.2439017,38.6725688
motorway_link / 20439725 / 1,I 95 / 930885998 / 1,28255.0,-77.251688,38.671924,-77.296509,38.621798
motorway_link / 61155967 / 1,motorway_link / 20428381 / 1,27803.0,-77.253967,38.670992,-77.291405,38.634916
motorway_link / 51862982 / 1,I 95 / 51826852 / 1,27035.0,-77.251572,38.667206,-77.2439017,38.6725688
motorway_link / 20428464 / 1,I 95 / 51826852 / 1,26245.0,-77.288828,38.634061,-77.2439017,38.6725688
motorway_link / 61155967 / 1,motorway_link / 20439589 / 1,24808.0,-77.253967,38.670992,-77.29605,38.626999
I 95 / 870344425 / 3,motorway_link / 20419653 / 1,22694.0,-77.273334,38.665297,-77.254753,38.668513
I 95 / 307480708 / 1,I 95 / 872163516 / 1,22627.0,-77.2865384,38.6435084,-77.2883731,38.6412562
I 95 / 872165161 / 1,motorway_link / 20419324 / 1,22410.0,-77.27768,38.660763,-77.299016,38.617012
motorway_link / 20432309 / 2,motorway_link / 20428381 / 1,22156.0,-77.281641,38.654355,-77.291405,38.634916
I 95 / 51826856 / 1,motorway_link / 20419324 / 1,21883.0,-77.2474419,38.6720128,-77.299016,38.617012
95 Express Lanes / 636701141 / 1,motorway_link / 20441368 / 1,21779.0,-77.2823897,38.6517095,-77.251991,38.668647
95 Express Lanes / 636701144 / 1,motorway_link / 20441368 / 1,21703.0,-77.29493,38.624323,-77.251991,38.668647
I 95 / 872163516 / 1,motorway_link / 20419324 / 1,20706.0,-77.2883731,38.6412562,-77.299016,38.617012
I 95 / 307480708 / 1,I 95 / 872165161 / 1,20462.0,-77.2865384,38.6435084,-77.27768,38.660763
I 95 / 870344425 / 3,I 95 / 872163516 / 1,20383.0,-77.273334,38.665297,-77.2883731,38.6412562
I 95 / 872165161 / 1,motorway_link / 20423565 / 1,19690.0,-77.27768,38.660763,-77.282249,38.655836
motorway_link / 20441697 / 1,I 95 / 870344425 / 3,19628.0,-77.277166,38.656797,-77.273334,38.665297
motorway_link / 20435035 / 1,motorway_link / 20440946 / 1,18429.0,-77.290112,38.629033,-77.277371,38.657047
motorway_link / 20441697 / 1,I 95 / 51826852 / 1,16940.0,-77.277166,38.656797,-77.2439017,38.6725688
motorway_link / 20435035 / 1,motorway_link / 20441368 / 1,16485.0,-77.290112,38.629033,-77.251991,38.668647
motorway_link / 20429249 / 1,motorway_link / 20441368 / 1,16212.0,-77.278396,38.65484,-77.251991,38.668647
I 95 / 687358695 / 1,I 95 / 872163516 / 1,15875.0,-77.299459,38.614725,-77.2883731,38.6412562
I 95 / 51826856 / 1,motorway_link / 20423565 / 1,15672.0,-77.2474419,38.6720128,-77.282249,38.655836
I 95 / 872165161 / 1,I 95 / 870344425 / 3,15571.0,-77.27768,38.660763,-77.273334,38.665297
I 95 / 307480708 / 1,I 95 / 930885998 / 1,15372.0,-77.2865384,38.6435084,-77.296509,38.621798
I 95 / 51826856 / 1,I 95 / 51826852 / 1,15087.0,-77.2474419,38.6720128,-77.2439017,38.6725688
I 95 / 872163516 / 1,I 95 / 307480708 / 1,14667.0,-77.2883731,38.6412562,-77.2865384,38.6435084
I 95 / 307480708 / 1,motorway_link / 20419653 / 1,14275.0,-77.2865384,38.6435084,-77.254753,38.668513
I 95 / 687358695 / 1,I 95 / 872165161 / 1,14007.0,-77.299459,38.614725,-77.27768,38.660763
I 95 / 870344425 / 3,I 95 / 930885998 / 1,13915.0,-77.273334,38.665297,-77.296509,38.621798
I 95 / 872165161 / 1,I 95 / 51826852 / 1,13645.0,-77.27768,38.660763,-77.2439017,38.6725688
I 95 / 51826856 / 1,I 95 / 870344425 / 3,13224.0,-77.2474419,38.6720128,-77.273334,38.665297
I 95 / 687358695 / 1,I 95 / 930885998 / 1,13193.0,-77.299459,38.614725,-77.296509,38.621798
I 95 / 872165161 / 1,I 95 / 307480708 / 1,13157.0,-77.27768,38.660763,-77.2865384,38.6435084
motorway_link / 20435035 / 1,motorway_link / 124891274 / 1,12737.0,-77.290112,38.629033,-77.286292,38.6427021
motorway_link / 20439725 / 1,motorway_link / 20440919 / 1,12584.0,-77.251688,38.671924,-77.28045,38.657226
I 95 / 872163516 / 1,I 95 / 870344425 / 3,12462.0,-77.2883731,38.6412562,-77.273334,38.665297
motorway_link / 20422548 / 1,motorway_link / 124891274 / 1,12451.0,-77.291467,38.626107,-77.286292,38.6427021
95 Express Lanes / 436339933 / 1,95 Express Lanes / 51826731 / 1,12104.0,-77.269421,38.667734,-77.2442283,38.6726982
motorway_link / 20435035 / 1,95 Express Lanes / 636701141 / 1,11972.0,-77.290112,38.629033,-77.2823897,38.6517095
motorway_link / 20422548 / 1,95 Express Lanes / 636701141 / 1,11713.0,-77.291467,38.626107,-77.2823897,38.6517095
95 Express Lanes / 51826731 / 1,95 Express Lanes / 636701144 / 1,11213.0,-77.2442283,38.6726982,-77.29493,38.624323
I 95 / 51826856 / 1,I 95 / 307480708 / 1,10908.0,-77.2474419,38.6720128,-77.2865384,38.6435084
motorway_link / 20432309 / 2,motorway_link / 537938574 / 4,10771.0,-77.281641,38.654355,,
I 95 / 872163516 / 1,I 95 / 51826852 / 1,10743.0,-77.2883731,38.6412562,-77.2439017,38.6725688
I 95 / 687358695 / 1,motorway_link / 20419653 / 1,10735.0,-77.299459,38.614725,-77.254753,38.668513
95 Express Lanes / 436339933 / 1,95 Express Lanes / 636701144 / 1,10733.0,-77.269421,38.667734,-77.29493,38.624323
95 Express Lanes / 51826731 / 1,95 Express Lanes / 436339933 / 1,10688.0,-77.2442283,38.6726982,-77.269421,38.667734
95 Express Lanes / 51826731 / 1,95 Express Lanes / 636701141 / 1,10246.0,-77.2442283,38.6726982,-77.2823897,38.6517095
I 95 / 870344425 / 3,motorway_link / 20440919 / 1,10171.0,-77.273334,38.665297,-77.28045,38.657226
95 Express Lanes / 636701141 / 1,95 Express Lanes / 436339933 / 1,9164.0,-77.2823897,38.6517095,-77.269421,38.667734
motorway_link / 20422548 / 1,motorway_link / 20441368 / 1,8623.0,-77.291467,38.626107,-77.251991,38.668647
95 Express Lanes / 636701141 / 1,95 Express Lanes / 636701144 / 1,8321.0,-77.2823897,38.6517095,-77.29493,38.624323
95 Express Lanes / 636701141 / 1,95 Express Lanes / 51826731 / 1,8250.0,-77.2823897,38.6517095,-77.2442283,38.6726982
95 Express Lanes / 636701144 / 1,95 Express Lanes / 436339933 / 1,8109.0,-77.29493,38.624323,-77.269421,38.667734
I 95 / 687358695 / 1,motorway_link / 537938574 / 4,7610.0,-77.299459,38.614725,,
motorway_link / 20433806 / 1,motorway_link / 20441368 / 1,7338.0,-77.2887208,38.6361495,-77.251991,38.668647
95 Express Lanes / 436339933 / 1,95 Express Lanes / 636701141 / 1,7065.0,-77.269421,38.667734,-77.2823897,38.6517095
motorway_link / 20429249 / 1,I 95 / 872165161 / 1,6830.0,-77.278396,38.65484,-77.27768,38.660763
motorway_link / 20433217 / 1,motorway_link / 20424282 / 1,6785.0,-77.253582,38.66833,-77.250795,38.671578
motorway_link / 20433806 / 1,motorway_link / 20440946 / 1,6497.0,-77.2887208,38.6361495,-77.277371,38.657047
motorway_link / 537938954 / 1,95 Express Lanes / 436339933 / 1,6416.0,-77.2786685,38.6597381,-77.269421,38.667734
motorway_link / 61155967 / 1,motorway_link / 537938574 / 4,6355.0,-77.253967,38.670992,,
motorway_link / 20422548 / 1,motorway_link / 291999598 / 1,6218.0,-77.291467,38.626107,-77.277856,38.654954
I 95 / 687358695 / 1,motorway_link / 124891274 / 1,5914.0,-77.299459,38.614725,-77.286292,38.6427021
motorway_link / 537938954 / 1,95 Express Lanes / 51826731 / 1,5864.0,-77.2786685,38.6597381,-77.2442283,38.6726982
motorway_link / 20428464 / 1,motorway_link / 20441368 / 1,5796.0,-77.288828,38.634061,-77.251991,38.668647
95 Express Lanes / 636701144 / 1,95 Express Lanes / 51826731 / 1,5708.0,-77.29493,38.624323,-77.2442283,38.6726982
I 95 / 687358695 / 1,95 Express Lanes / 636701141 / 1,5569.0,-77.299459,38.614725,-77.2823897,38.6517095
motorway_link / 20429249 / 1,motorway_link / 20440919 / 1,5007.0,-77.278396,38.65484,-77.28045,38.657226
I 95 / 307480708 / 1,motorway_link / 20440919 / 1,4614.0,-77.2865384,38.6435084,-77.28045,38.657226
95 Express Lanes / 636701141 / 1,motorway_link / 20419653 / 1,4567.0,-77.2823897,38.6517095,-77.254753,38.668513
95 Express Lanes / 636701144 / 1,motorway_link / 20419653 / 1,4549.0,-77.29493,38.624323,-77.254753,38.668513
motorway_link / 61155967 / 1,motorway_link / 20423565 / 1,4334.0,-77.253967,38.670992,-77.282249,38.655836
I 95 / 870344425 / 3,motorway_link / 20428381 / 1,4080.0,-77.273334,38.665297,-77.291405,38.634916
motorway_link / 20429249 / 1,motorway_link / 20419653 / 1,4054.0,-77.278396,38.65484,-77.254753,38.668513
motorway_link / 20432309 / 2,I 95 / 307480708 / 1,4049.0,-77.281641,38.654355,-77.2865384,38.6435084
motorway_link / 20439725 / 1,motorway_link / 20428381 / 1,4009.0,-77.251688,38.671924,-77.291405,38.634916
