zone_id,time,speed,volume,occupancy
196168,00:00,22.9,7.0,0.0
196168,00:15,20.3,6.0,0.1
196168,00:30,27.7,8.0,0.0
196168,00:45,11.3,3.0,0.0
196168,01:00,2.2,1.0,0.0
196168,01:15,7.8,2.0,0.0
196168,01:30,7.2,2.0,0.0
196168,01:45,7.3,2.0,0.0
196168,02:00,6.1,3.0,0.2
196168,02:15,7.1,3.0,0.1
196168,02:30,10.2,4.0,0.2
196168,02:45,5.5,3.0,0.1
196168,03:00,6.9,2.0,0.0
196168,03:15,9.2,5.0,0.1
196168,03:30,19.2,7.0,0.2
196168,03:45,19.2,10.0,0.3
196168,04:00,31.6,12.0,0.2
196168,04:15,28.2,15.0,0.5
196168,04:30,31.4,20.0,0.7
196168,04:45,37.5,36.0,1.2
196168,05:00,39.4,47.0,2.0
196168,05:15,39.9,61.0,3.0
196168,05:30,40.0,77.0,4.3
196168,05:45,38.0,117.0,6.6
196168,06:00,37.8,118.0,8.4
196168,06:15,31.5,128.0,9.0
196168,06:30,35.1,117.0,8.1
196168,06:45,34.8,138.0,9.7
196168,07:00,39.2,131.0,8.8
196168,07:15,31.6,129.0,8.8
196168,07:30,36.2,119.0,8.5
196168,07:45,37.0,93.0,5.8
196168,08:00,37.3,119.0,7.7
196168,08:15,36.4,83.0,5.2
196168,08:30,39.4,86.0,4.8
196168,08:45,37.8,80.0,5.2
196168,09:00,33.8,85.0,3.9
196168,09:15,40.2,63.0,3.5
196168,09:30,39.4,96.0,5.0
196168,09:45,41.3,61.0,2.8
196168,10:00,43.2,66.0,2.8
196168,10:15,38.4,54.0,2.6
196168,10:30,40.0,50.0,1.8
196168,10:45,36.8,52.0,2.4
196168,11:00,43.7,73.0,2.9
196168,11:15,42.4,62.0,2.7
196168,11:30,41.6,80.0,3.3
196168,11:45,43.8,75.0,3.4
196168,12:00,40.0,74.0,3.1
196168,12:15,38.8,73.0,3.5
196168,12:30,39.1,83.0,3.9
196168,12:45,41.8,83.0,3.2
196168,13:00,42.0,80.0,4.5
196168,13:15,43.2,86.0,3.5
196168,13:30,40.4,91.0,4.6
196168,13:45,42.6,74.0,3.0
196168,14:00,42.9,75.0,3.4
196168,14:15,41.6,97.0,4.4
196168,14:30,40.8,91.0,4.2
196168,14:45,43.4,88.0,4.2
196168,15:00,27.8,64.0,6.8
196168,15:15,28.8,85.0,17.8
196168,15:30,30.7,92.0,14.5
196168,15:45,31.3,85.0,6.2
196168,16:00,28.4,92.0,16.1
196168,16:15,33.1,74.0,16.2
196168,16:30,27.1,110.0,29.6
196168,16:45,26.6,93.0,29.7
196168,17:00,29.4,93.0,25.5
196168,17:15,30.3,96.0,26.3
196168,17:30,29.3,96.0,14.4
196168,17:45,28.5,87.0,20.9
196168,18:00,25.8,77.0,25.8
196168,18:15,27.2,86.0,23.8
196168,18:30,29.2,72.0,9.8
196168,18:45,36.4,78.0,14.6
196168,19:00,32.2,97.0,10.3
196168,19:15,36.8,72.0,6.2
196168,19:30,33.7,93.0,6.8
196168,19:45,41.8,78.0,3.5
196168,20:00,43.5,76.0,2.8
196168,20:15,41.5,82.0,3.5
196168,20:30,34.9,85.0,4.5
196168,20:45,43.2,69.0,2.5
196168,21:00,38.2,63.0,2.8
196168,21:15,41.8,74.0,3.2
196168,21:30,41.2,51.0,2.2
196168,21:45,39.8,49.0,1.9
196168,22:00,34.8,39.0,1.7
196168,22:15,34.7,40.0,1.6
196168,22:30,38.3,27.0,1.1
196168,22:45,39.5,32.0,1.0
196168,23:00,36.5,20.0,0.5
196168,23:15,27.0,14.0,0.4
196168,23:30,29.2,13.0,0.3
196168,23:45,20.5,7.0,0.1
196182,00:00,40.5,80.0,0.4
196182,00:15,33.2,56.0,0.4
196182,00:30,38.0,74.0,0.6
196182,00:45,32.6,42.0,0.2
196182,01:00,26.0,37.0,0.2
196182,01:15,25.0,31.0,0.1
196182,01:30,25.0,29.0,0.1
196182,01:45,27.9,31.0,0.1
196182,02:00,31.1,33.0,0.2
196182,02:15,24.2,21.0,0.1
196182,02:30,27.5,33.0,0.2
196182,02:45,23.2,32.0,0.2
196182,03:00,24.4,27.0,0.1
196182,03:15,22.6,30.0,0.2
196182,03:30,20.8,28.0,0.3
196182,03:45,20.1,26.0,0.2
196182,04:00,27.1,30.0,0.2
196182,04:15,27.1,38.0,0.2
196182,04:30,33.3,44.0,0.3
196182,04:45,33.8,73.0,0.6
196182,05:00,42.7,72.0,0.5
196182,05:15,43.3,84.0,0.6
196182,05:30,36.2,63.0,0.6
196182,05:45,39.4,84.0,0.7
196182,06:00,45.4,110.0,1.3
196182,06:15,38.9,105.0,1.0
196182,06:30,46.0,171.0,2.1
196182,06:45,43.8,170.0,1.9
196182,07:00,45.5,155.0,1.8
196182,07:15,42.2,183.0,2.9
196182,07:30,46.8,241.0,2.8
196182,07:45,44.8,210.0,2.6
196182,08:00,44.7,255.0,3.2
196182,08:15,45.7,224.0,2.7
196182,08:30,44.2,281.0,3.2
196182,08:45,41.0,243.0,3.4
196182,09:00,45.2,261.0,2.7
196182,09:15,42.2,212.0,2.4
196182,09:30,44.0,302.0,3.3
196182,09:45,45.5,300.0,3.3
196182,10:00,44.4,303.0,3.4
196182,10:15,44.6,272.0,3.3
196182,10:30,46.3,295.0,3.2
196182,10:45,45.9,262.0,3.1
196182,11:00,46.5,327.0,3.6
196182,11:15,45.4,280.0,3.3
196182,11:30,45.3,363.0,3.8
196182,11:45,45.8,365.0,4.3
196182,12:00,43.8,363.0,4.1
196182,12:15,42.5,305.0,3.8
196182,12:30,44.4,358.0,4.3
196182,12:45,44.5,287.0,3.1
196182,13:00,45.6,285.0,3.1
196182,13:15,45.6,316.0,3.6
196182,13:30,45.8,286.0,3.4
196182,13:45,43.0,348.0,3.9
196182,14:00,44.6,282.0,3.7
196182,14:15,42.0,374.0,4.4
196182,14:30,44.8,414.0,4.8
196182,14:45,46.7,320.0,3.9
196182,15:00,41.2,353.0,4.4
196182,15:15,41.9,351.0,5.0
196182,15:30,42.2,400.0,5.0
196182,15:45,42.6,321.0,4.2
196182,16:00,43.8,372.0,4.7
196182,16:15,39.7,381.0,5.3
196182,16:30,41.5,382.0,4.5
196182,16:45,43.1,326.0,4.4
196182,17:00,44.5,348.0,3.9
196182,17:15,42.0,377.0,5.3
196182,17:30,41.0,380.0,5.7
196182,17:45,44.0,421.0,5.1
196182,18:00,45.9,384.0,4.6
196182,18:15,43.5,316.0,4.0
196182,18:30,42.4,290.0,3.2
196182,18:45,41.6,283.0,3.5
196182,19:00,44.7,336.0,3.6
196182,19:15,44.8,277.0,3.1
196182,19:30,47.1,296.0,2.8
196182,19:45,50.8,253.0,2.8
196182,20:00,44.9,253.0,2.5
196182,20:15,47.4,293.0,3.0
196182,20:30,43.8,259.0,3.1
196182,20:45,47.4,223.0,2.3
196182,21:00,45.2,228.0,2.2
196182,21:15,48.3,204.0,1.9
196182,21:30,43.5,206.0,2.2
196182,21:45,44.1,194.0,1.9
196182,22:00,47.5,193.0,2.0
196182,22:15,43.9,222.0,2.3
196182,22:30,45.9,213.0,2.1
196182,22:45,47.1,171.0,1.6
196182,23:00,45.0,152.0,1.4
196182,23:15,41.4,131.0,1.2
196182,23:30,47.0,114.0,1.0
196182,23:45,43.2,115.0,0.9
196495,00:00,71.6,321.0,3.7
196495,00:15,71.4,282.0,3.2
196495,00:30,72.5,233.0,2.6
196495,00:45,70.8,257.0,2.5
196495,01:00,71.5,219.0,2.7
196495,01:15,72.2,210.0,2.2
196495,01:30,72.0,212.0,2.8
196495,01:45,67.8,172.0,2.2
196495,02:00,69.4,161.0,1.8
196495,02:15,73.1,197.0,2.0
196495,02:30,74.2,171.0,1.9
196495,02:45,74.5,217.0,2.3
196495,03:00,73.6,209.0,2.3
196495,03:15,74.0,293.0,2.9
196495,03:30,72.9,286.0,3.3
196495,03:45,72.7,363.0,3.6
196495,04:00,73.3,476.0,4.7
196495,04:15,72.4,566.0,6.1
196495,04:30,72.4,713.0,7.3
196495,04:45,72.3,770.0,8.1
196495,05:00,68.4,962.0,9.7
196495,05:15,52.5,986.0,14.4
196495,05:30,38.7,966.0,20.3
196495,05:45,43.7,792.0,17.2
196495,06:00,30.1,859.0,24.6
196495,06:15,26.0,667.0,26.7
196495,06:30,24.0,700.0,29.2
196495,06:45,24.0,661.0,26.4
196495,07:00,22.7,695.0,30.9
196495,07:15,26.2,644.0,28.4
196495,07:30,29.0,795.0,22.8
196495,07:45,29.9,695.0,24.4
196495,08:00,27.1,730.0,25.0
196495,08:15,26.2,756.0,26.3
196495,08:30,31.0,721.0,24.4
196495,08:45,39.5,747.0,20.0
196495,09:00,66.7,777.0,8.9
196495,09:15,67.0,949.0,9.8
196495,09:30,68.1,857.0,9.1
196495,09:45,68.5,818.0,9.0
196495,10:00,67.9,884.0,9.3
196495,10:15,65.7,852.0,9.7
196495,10:30,65.0,923.0,9.8
196495,10:45,58.9,832.0,10.6
196495,11:00,68.7,885.0,8.4
196495,11:15,67.2,846.0,9.2
196495,11:30,63.1,967.0,10.2
196495,11:45,66.2,861.0,9.6
196495,12:00,66.6,930.0,9.1
196495,12:15,63.6,849.0,10.3
196495,12:30,12.5,389.0,40.6
196495,12:45,11.9,279.0,42.0
196495,13:00,11.5,307.0,42.6
196495,13:15,20.9,442.0,29.9
196495,13:30,34.2,803.0,21.7
196495,13:45,27.9,638.0,25.7
196495,14:00,20.5,547.0,34.7
196495,14:15,12.2,346.0,41.7
196495,14:30,17.1,497.0,34.9
196495,14:45,19.1,578.0,32.3
196495,15:00,18.5,532.0,33.2
196495,15:15,24.2,711.0,27.4
196495,15:30,32.5,755.0,22.4
196495,15:45,39.9,801.0,17.7
196495,16:00,29.8,758.0,23.8
196495,16:15,38.7,817.0,18.7
196495,16:30,53.1,750.0,11.7
196495,16:45,63.5,837.0,8.8
196495,17:00,64.9,833.0,9.3
196495,17:15,66.0,899.0,9.1
196495,17:30,65.9,835.0,8.4
196495,17:45,62.1,817.0,10.9
196495,18:00,59.7,581.0,9.9
196495,18:15,73.7,504.0,4.7
196495,18:30,73.2,552.0,4.5
196495,18:45,72.9,601.0,5.2
196495,19:00,71.9,549.0,5.4
196495,19:15,68.8,819.0,8.8
196495,19:30,58.6,824.0,11.3
196495,19:45,43.5,737.0,15.7
196495,20:00,32.0,742.0,22.9
196495,20:15,51.6,728.0,14.1
196495,20:30,68.0,661.0,7.8
196495,20:45,67.2,654.0,6.8
196495,21:00,68.1,575.0,6.9
196495,21:15,68.1,631.0,7.1
196495,21:30,66.0,689.0,8.9
196495,21:45,71.2,418.0,4.4
196495,22:00,72.1,349.0,3.4
196495,22:15,71.8,433.0,3.9
196495,22:30,71.6,361.0,4.0
196495,22:45,73.0,286.0,2.6
196495,23:00,72.8,313.0,3.3
196495,23:15,71.8,332.0,3.5
196495,23:30,71.4,332.0,4.2
196495,23:45,70.1,301.0,4.1
196740,00:00,68.4,284.0,2.5
196740,00:15,69.3,250.0,2.1
196740,00:30,68.7,220.0,1.8
196740,00:45,68.9,236.0,1.6
196740,01:00,68.1,239.0,1.8
196740,01:15,67.6,190.0,1.3
196740,01:30,68.4,209.0,2.1
196740,01:45,68.8,161.0,1.3
196740,02:00,70.9,189.0,1.5
196740,02:15,69.6,179.0,1.3
196740,02:30,72.0,176.0,1.3
196740,02:45,68.9,192.0,1.4
196740,03:00,69.6,241.0,1.7
196740,03:15,70.0,258.0,2.1
196740,03:30,69.7,307.0,2.5
196740,03:45,68.2,361.0,2.8
196740,04:00,69.0,432.0,3.0
196740,04:15,68.1,570.0,4.5
196740,04:30,67.7,741.0,5.5
196740,04:45,66.3,759.0,5.8
196740,05:00,64.1,1017.0,7.4
196740,05:15,59.4,1112.0,9.5
196740,05:30,58.0,1226.0,9.8
196740,05:45,58.9,1107.0,9.5
196740,06:00,57.3,1202.0,9.7
196740,06:15,56.2,1222.0,10.9
196740,06:30,56.3,1239.0,10.4
196740,06:45,55.7,1136.0,10.3
196740,07:00,56.4,1165.0,9.7
196740,07:15,54.1,1147.0,11.0
196740,07:30,58.4,1244.0,9.9
196740,07:45,58.1,1100.0,10.0
196740,08:00,57.8,1126.0,9.2
196740,08:15,57.8,1099.0,9.7
196740,08:30,58.8,1159.0,9.1
196740,08:45,59.9,998.0,9.3
196740,09:00,62.4,1018.0,8.3
196740,09:15,62.0,1068.0,8.8
196740,09:30,63.7,1040.0,7.8
196740,09:45,64.2,926.0,7.6
196740,10:00,64.1,993.0,7.8
196740,10:15,62.1,1101.0,8.8
196740,10:30,62.8,1100.0,7.9
196740,10:45,62.2,978.0,7.9
196740,11:00,62.5,1027.0,7.3
196740,11:15,61.6,989.0,8.1
196740,11:30,61.5,1065.0,8.1
196740,11:45,62.7,965.0,7.7
196740,12:00,62.1,1059.0,7.9
196740,12:15,63.8,843.0,6.7
196740,12:30,66.5,621.0,4.1
196740,12:45,66.2,626.0,4.4
196740,13:00,64.1,660.0,5.7
196740,13:15,61.3,974.0,8.5
196740,13:30,59.1,980.0,9.0
196740,13:45,60.8,1016.0,8.4
196740,14:00,63.0,685.0,5.3
196740,14:15,65.0,645.0,4.6
196740,14:30,62.4,824.0,6.5
196740,14:45,62.4,776.0,7.0
196740,15:00,63.0,859.0,6.6
196740,15:15,59.5,925.0,8.2
196740,15:30,59.2,1033.0,8.3
196740,15:45,59.6,899.0,7.9
196740,16:00,59.7,925.0,7.6
196740,16:15,60.0,862.0,7.0
196740,16:30,60.9,940.0,7.2
196740,16:45,60.7,883.0,7.3
196740,17:00,62.8,971.0,7.4
196740,17:15,62.8,981.0,7.0
196740,17:30,64.1,809.0,6.6
196740,17:45,60.2,821.0,7.2
196740,18:00,61.2,900.0,6.5
196740,18:15,67.2,634.0,4.2
196740,18:30,68.2,613.0,3.5
196740,18:45,68.2,617.0,3.8
196740,19:00,66.8,614.0,4.5
196740,19:15,64.0,833.0,6.7
196740,19:30,62.6,853.0,7.4
196740,19:45,59.8,846.0,7.8
196740,20:00,58.4,895.0,8.3
196740,20:15,57.8,920.0,7.9
196740,20:30,63.0,703.0,5.9
196740,20:45,62.4,678.0,5.2
196740,21:00,63.8,582.0,4.8
196740,21:15,62.8,709.0,5.9
196740,21:30,62.4,703.0,6.3
196740,21:45,66.0,504.0,3.7
196740,22:00,67.6,356.0,2.5
196740,22:15,66.0,416.0,2.7
196740,22:30,67.1,400.0,3.0
196740,22:45,66.6,269.0,1.5
196740,23:00,67.5,298.0,2.1
196740,23:15,67.7,323.0,2.4
196740,23:30,66.2,318.0,2.5
196740,23:45,66.5,283.0,3.0
196797,00:00,5.3,5.0,0.7
196797,00:15,20.0,16.0,1.0
196797,00:30,3.3,1.0,0.7
196797,00:45,26.0,8.0,1.0
196797,01:00,28.0,5.0,1.0
196797,01:15,19.7,10.0,1.0
196797,01:30,8.7,6.0,0.7
196797,01:45,7.0,4.0,1.0
196797,02:00,9.3,5.0,1.0
196797,02:15,2.0,1.0,1.0
196797,02:30,8.0,4.0,1.0
196797,02:45,8.0,5.0,1.0
196797,03:00,15.0,6.0,1.0
196797,03:15,6.7,5.0,1.0
196797,03:30,16.5,7.0,1.0
196797,03:45,24.7,1.0,1.0
196797,04:00,22.3,15.0,1.0
196797,04:15,0.0,0.0,0.7
196797,04:30,21.0,5.0,0.7
196797,04:45,29.3,18.0,1.0
196797,05:00,71.0,85.0,1.0
196797,05:15,40.5,27.0,1.0
196797,05:30,51.0,123.0,1.0
196797,05:45,24.0,72.0,1.0
196797,06:00,40.3,76.0,1.0
196797,06:15,58.3,138.0,1.0
196797,06:30,67.5,124.0,1.0
196797,06:45,44.3,97.0,1.0
196797,07:00,26.0,59.0,1.0
196797,07:15,40.3,99.0,1.0
196797,07:30,35.0,73.0,1.0
196797,07:45,75.7,268.0,1.0
196797,08:00,0.0,0.0,1.0
196797,08:15,66.7,164.0,1.0
196797,08:30,3.3,2.0,0.7
196797,08:45,43.0,98.0,1.0
196797,09:00,40.7,71.0,1.0
196797,09:15,25.3,44.0,0.7
196797,09:30,47.3,59.0,1.0
196797,09:45,58.5,16.0,1.0
196797,10:00,71.7,69.0,1.0
196797,10:15,19.0,12.0,0.7
196797,10:30,2.3,2.0,1.0
196797,10:45,0.0,0.0,1.0
196797,11:00,0.0,0.0,1.0
196797,11:15,0.0,0.0,1.0
196797,11:30,0.0,0.0,0.7
196797,11:45,0.0,0.0,1.0
196797,12:00,0.0,0.0,1.0
196797,12:15,0.0,0.0,1.0
196797,12:30,0.0,0.0,1.0
196797,12:45,0.0,0.0,1.0
196797,13:00,0.0,0.0,0.7
196797,13:15,0.0,0.0,0.7
196797,13:30,0.0,0.0,0.3
196797,13:45,0.0,0.0,1.0
196797,14:00,0.0,0.0,1.0
196797,14:15,0.0,0.0,1.0
196797,14:30,0.0,0.0,1.0
196797,14:45,0.0,0.0,1.0
196797,15:00,0.0,0.0,1.0
196797,15:15,0.0,0.0,1.0
196797,15:30,0.0,0.0,0.7
196797,15:45,0.0,0.0,1.0
196797,16:00,0.0,0.0,1.0
196797,16:15,0.0,0.0,1.0
196797,16:30,0.0,0.0,1.0
196797,16:45,0.0,0.0,0.7
196797,17:00,0.0,0.0,1.0
196797,17:15,0.0,0.0,1.0
196797,17:30,0.0,0.0,1.0
196797,17:45,0.0,0.0,1.0
196797,18:00,0.0,0.0,1.0
196797,18:15,0.0,0.0,0.7
196797,18:30,0.0,0.0,1.0
196797,18:45,0.0,0.0,1.0
196797,19:00,0.0,0.0,1.0
196797,19:15,0.0,0.0,1.0
196797,19:30,0.0,0.0,1.0
196797,19:45,0.0,0.0,1.0
